innovate adj_创造性的_n_创新_v_创新
species n_物种
highlight v_增强亮度；_强调
enhance n_增强_v_提高；_增加；_加强
diminish v_减少，_缩小
irrelevant n_不相关_adj_无关系的
pragmatic adj_实用主义的，_务实的
skeptical n_怀疑态度_adj_多疑的_n_怀疑论者
superfluous adj_多余的
anomalous adj_反常的
cultural adj_文化的
explicit adj_明确的，_旗帜鲜明的_adv_明确地
undermine v_破坏；_削弱
predictable adv_可预见地_adj_可预测的，_预计的
biological adj_生物的，_生物学的
contradict v_与…矛盾
creation n_创造
intrigue v_激起…的兴趣、_欲望或好奇心
ironically adv_讽刺地_adj_讽刺的
random adj_任意的，_随机的_n_随机性_adv_随便地
realistic adj_现实的_adv_现实地
suppress v_压制，_制止
acknowledge v_承认
paradox n_似非而是的论点，_自相矛盾的话_adv_自相矛盾地_adj_自相矛盾的
constitute v_构成
cynicism n_愤世嫉俗_adj_愤世嫉俗的_n_愤世嫉俗者
disdain v_蔑视
diversity n_多样性
inherent adj_内在的_adv_本质上地
repudiate v_放弃；_否认
selective adj_选择性的_adv_有选择地_n_选择性
adolescent adj_青春期的，_青少年的_n_青少年
belie v_证明（某事）错误
cautious adj_小心的，_谨慎的
controversial adj_有争议的_n_争论
crucial adj_关键的
deliberate adj_故意的_adv_故意地_v_仔细考虑，_权衡
economics n_经济学
idiosyncratic adj_有特点的_adv_个性地
insight n_洞察力；_见识；_深刻的理解_adj_有深刻见解的
intimidate n_恐吓，_威胁_v_恐吓
intuition adj_直觉的_n_直觉_adj_直觉的
minimal adj_最小的_v_将…减到最少
nurture v_养育
opposition n_反对，_对立
historian n_历史学家
plausible adj_似乎正确的，_似乎可信的
profound adj_极度的_adv_深刻地
sporadic adj_偶尔发生的，_间或出现的
whereas conj_但是
ambivalent adj_矛盾的_n_矛盾心理
discredit v_使怀疑；_败坏…的名声
disinterested adj_公平的_n_公正无私
disparage v_鄙视_n_轻蔑
distinctive adj_独特的
distort v_扭曲
assumption n_假设
dominate n_支配_v_控制，_占优势地位
enlighten v_启发
essence n_本质
geologic n_地质学_n_地质学家_adj_地质的_adj_地质学的
hypothesis n_假设，_假说
inconsistent adj_不一致的_n_前后矛盾
indifference n_漠不关心
insignificant adj_不重要的，_无足轻重的
intensify v_增强，_强化
intrinsic adj_内在的
decline v_降低；_拒绝
involvement n_参与；_纠缠
medieval adj_中世纪的
obsolete adj_过时的
primeval adj_远古的
problematic adj_有问题的
provoke v_激怒
reconcile v_调和；_协调
redundant adj_多余的，_过剩的
senator n_参议员
systematic adj_系统的
genetic adj_基因的，_遗传的
trait n_特征
aggression n_攻击；_侵略
alleviate v_减轻
assert v_主张_n_断言
authoritative adj_权威的
bias n_偏见_v_对某人有偏见_adj_有偏见的
censure v_公开谴责，_严厉批评
characterize v_赋予…特色
conspicuous adj_明显的
constrain v_约束，_限制_n_约束
obscure adj_难解的_v_使…模糊_n_晦涩
corporate adj_集体的
demonstration n_示威游行；_演出
detachment n_客观，_公正
distrust n_不信任
eclectic adj_兼收并蓄的，_博采众长的
ecology n_生态学_n_生态学家_adj_生态学的
endorsement n_认可
equally adv_同样地
favor n_支持
fossil n_化石
idealism n_理想主义_adj_理想主义的_n_理想主义者
illusion n_错觉；_幻觉；_幻想
imminent adj_迫在眉睫的
impractical adj_不切实际的，_不实用的_adv_不实用地
interdependent adj_相互依赖的_n_互相依赖
intricate adj_复杂的_adv_复杂地
irresponsible adj_不负责任的_n_不负责
literal adj_字面上的；_文字的
manipulate v_控制_n_操作；_控制
negotiation n_谈判_n_谈判者
nonetheless adv_然而，_但是
objectivity n_客观性_adv_客观地
perplex v_使困惑
pertinent adj_相关的
philosophical adj_哲学的_adv_哲学上
portray v_饰演；_描绘
prediction n_预言
profitable adj_有利润的_n_赢利能力
prose n_散文
replicate v_复制
seemingly adv_看似，_表面上
sincerity n_真诚
subjective adj_主观的
substantiate v_证明
subtle adj_微妙的；_不易觉察的
supporter n_支持者
synthesize v_合成_n_综合
uncertainty n_不确定，_不稳定
unconvinced adj_不信服的，_不相信的
uniqueness n_独特性
accessible adj_易接近的，_易理解的
adventurous adj_有创新精神的
"advocate" v_主张；_提倡；_拥护
aesthetic adj_美学的_n_美学_n_唯美主义者
ambitious adj_有抱负的，_雄心勃勃的
antagonize v_对抗_adj_对抗性的
antipathy n_厌恶
astronomy n_天文学_adj_天文学的_n_天文学家
autonomy n_自主
category n_类别
complexity n_复杂性
compliment n_&v_恭维，_称赞
comprehend v_理解
conception n_观点
condescension n_屈尊俯就
confront v_面临
confrontation n_冲突_adj_对抗的
conscientious adj_认真的
consensus n_共识
constantly adv_一直地，_不断地
consumer n_消费者
contradictory adj_矛盾的
contribution n_贡献
corrupt v_使…毁灭_n_堕落_adj_堕落的
deliberation n_审议
dependence n_依赖
derivative adj_缺乏创意的，_陈腐的
deter v_阻止；_威慑
detrimental adj_有害的
deviation n_偏离
devoid adj_缺少的
discrete adj_分开的
dispel v_消除
disrupt v_使…混乱；_妨碍_adj_破坏性的
diversify v_多样化
elegant adj_高度的
emulate v_模仿
engender v_导致
enigmatic adj_像谜题一样的
entrepreneur n_企业家_adj_企业家的
faction n_派系
flaw n_缺陷_adj_有缺陷的
formulation n_规划，_构想
frustrate v_使沮丧，_使郁闷
futile adj_无效的
illuminate v_阐明，_启发
imitative adj_模仿的_n_模仿
impartial adj_公正的_n_公正
incorporate v_吸收
indistinguishable adj_无法分辨的
individualism n_个人主义
initially "adv_最初,_开头"
integrate v_整合_n_集合
judicious adj_明智的_n_明智
labor n_劳动者
mandate n_训令_v_指使
marginal adj_边际的；_末端的；_微小的_adv_少量地
meager adj_不足的
mechanism n_机制；_物理过程；_唯物论
microorganism n_微生物
modesty n_朴实_adv_适当地
naive adj_新手的_n_天真
necessitate v_使…成为必需
"neutralize" v_调和，_抵消
novelist n_小说家
obligation n_义务
oblivion n_遗忘_adj_不注意的
obviate v_回避；_排除
orthodox n_正统学说_adj_正统的
parasite n_寄生虫，_寄生生物
pervasive adj_普遍的，_广泛的
practitioner n_从业者
precedent n_惯例
preclude v_排除
prerequisite n_前提
radical adj_激进的
regime n_政权
rigidity n_强硬
specious adj_华而不实的_n_华而不实
supersede v_取代
symbolic adj_象征的
tension n_紧张状态
thoroughly "adv_彻底地,_完全地"
traveler n_旅行者
underlie v_成为…的基础
unnoticed adj_不被注意的
unpredictable adj_不可预测的
violate v_违反，_违背
vulnerable adj_脆弱的，_易受伤害的
aggrandize v_增加；_夸大
alienate v_疏远_n_疏远
apparently adv_表面上
apprehension n_理解
archaeology n_考古学_adj_考古学的
augment v_增加
autobiographical adj_自传体的_n_自传
awareness n_意识
axiomatic adj_不言自明的
boredom n_无聊
bureaucratic adj_官僚主义的_n_官僚化
candid adj_坦诚的_adv_坦率地
caprice n_变化无常
circumvent v_设法避开
coherent adj_有条理的
colored adj_扭曲的
colorful adj_丰富多彩的_adv_丰富多彩地
commonplace adj_普通的_n_寻常的事物
compensate v_补偿
competitive adj_竞争的
condone v_宽恕
congenial adj_适合的，_意气相投的
contentious adj_好争辩的_adv_好争辩地
context n_背景
continental adj_大陆的
continuation n_延续，_继续
continuity n_延续性
conviction n_坚定的信念
cooperation n_合作
credibility n_可信性
dealer n_经销商
decry v_谴责
defense n_辩护
defer v_推迟
designer n_设计者
differentiate v_区别，_分辨
diffidence n_内向
dilemma n_进退两难的困境
disingenuous adj_虚伪的
dubious adj_可疑的
effectively adv_有效地
elegance n_优美
embellish v_装饰，_修饰
enigma n_难以理解的事物
entirely adv_完全地，_全部地
ephemeral adj_短暂的
equivocal adj_模棱两可的
eschew v_避开，_回避
exacerbate v_加重，_使…恶化
facetious adj_幽默的
familiarity n_熟悉
fascination n_关注
favorable adj_赞同的
feign v_假装
figurative adj_比喻的
flout v_轻视
fluctuate v_波动_n_波动
foster v_促进，_鼓励
frivolous adj_无足轻重的
genre n_体裁，_类型
haphazard adj_随机的_adv_随意地
hinder v_阻碍
hostility n_敌意，_敌对
ignorance n_无知，_愚昧
illusory adj_虚幻的
immune adj_免疫的，_免除的
inaccurate adj_不准确的
inadequate adj_不适当的_adv_不适当地
inconclusive adj_非决定性的，_不充分的
incongruity n_不一致
inconsequential adj_微不足道的
indecisive adj_优柔寡断的_n_犹豫不决_n_犹豫不决
indeterminate adj_模糊的，难以识别的_adj_无法确定的；难以解决的
indulgent adj_纵容的_n_放纵
inexact adj_不精确的
ingenious adj_巧妙的；_创新性的_n_机敏
inimical adj_不友善的
initiate v_开始
instinctive adj_本能的
integrity n_正直
irony n_讽刺
judgment n_判断
justification n_辩护；_正当理由
laud v_赞美_adj_值得称赞的
literacy n_读写能力
lyric adj_抒情的
mediocre adj_平庸的，_平凡的
methodology n_方法学
monotonous adj_单调的_n_枯燥
mundane adj_平凡的
needlessly adv_不必要地
notion n_观念
novelty n_新事物
passionate adj_热情的，_激情的
peripheral adj_（神经）末梢的
photographer n_摄影师
politically adv_政治上地
populate v_居住于，_生活于
precipitate v_促成，_使…加速
precursor n_先驱
preempt v_占先
preoccupation n_专注
presumptuous adj_放肆的，_冒昧的；武断的_n_放肆，_冒昧；武断
reassess v_重新评价
reassure v_使…恢复信心；_使…安心
reciprocity n_相互作用
rejection n_排斥
relentless adj_持续不断的_adv_持续地，_一直以来
resentment n_怨恨
reviewer n_评论家
ridicule n_嘲笑_v_嘲笑
safeguard n_保护措施
salutary adj_有益的
schematic adj_结构化的
sheer adj_绝对的，_全然的
similarity n_类似
speculation n_推测
spoilage n_腐败，_变质
theater n_剧院
theme n_主题
timeless adj_不变的_n_永恒
timely adj_及时的
trivial adj_不重要的，_无足轻重的
uniformity n_一致
unrealistic adj_不切实际的
verifiable adj_能证实的
wholehearted adj_全心全意的
abate v_缓和
accomplishment n_成就
adamant adj_坚定不移的
adaptation n_适应能力
adjustment n_调整，_修正
admiration n_赞赏
adulation n_奉承
adulthood n_成年
adversity n_灾难
advertiser n_广告商_n_广告
affirm v_证实
agreeable adj_愉快的
allusive adj_暗示的
altruism n_利他主义
ambiguous adj_含糊不清的
ameliorate v_改善
anachronistic adj_落伍的
analytic adj_分析的
analyze v_分析的
antibiotic n_抗生素
anticipation n_预期
antiquated adj_陈旧的，_过时的
antithetical adj_对立的
apathetic adj_冷漠的，_无动于衷的
arcane adj_神秘的
architect n_建筑师
articulate adj_善于表达的
artless adj_质朴的_n_单纯，_朴实
aspiration n_渴望
astonishment n_惊讶
astrology n_占星术
attorney n_律师
augur v_预示
availability n_可利用性
avert v_避免，_防止
awe n_敬畏
banal adj_平庸的
beneficent adj_有益的
berate v_严厉指责
bolster v_支持
broaden v_变宽；_扩大；_开阔
candor n_直率；_公正
capricious adj_变化无常的
caution n_警告
cherish v_珍爱
circumscribe v_限制
circumspect adj_细心谨慎的
clandestine adj_秘密的
clarity n_清楚易懂
client n_客户
coercion n_强迫；_高压政治
cognizance n_注意
commentator n_评论家
comparable adj_类似的
compatible adj_适合的
complacency n_自满_adj_满足的
compliance n_遵守，_遵照
complication n_困难
composer n_作曲家
conceptually adv_概念上地_adj_概念上的
conciliatory adj_和解的
confidentiality n_保密
configuration n_结构；_形态
conformity n_一致，_符合
conjecture n_推测
conserve v_保存
consistency n_一致性
contrive v_设法做到
copyright adj_版权所有的_n_版权
corroborate v_证实_adj_确证的
cosmos n_宇宙
counterbalance v_使平衡，_使抵消
counterpart n_对应的人或物
criterion n_标准
curriculum n_课程
curtail v_缩减
